DEMAND,HEAD,PRESSURE,LAT,LON
0.000,511.35,68.88,35.4777666,-79.2254263
0.018,511.35,56.55,35.4776366,-79.2236697
0.001,511.35,56.55,35.4776365,-79.2237538
0.000,511.35,56.96,35.4777226,-79.2236720
0.000,511.35,59.08,35.4782091,-79.2236851
0.000,511.35,56.42,35.4776336,-79.2235814
0.000,511.37,60.20,35.4764204,-79.2236369
0.001,511.35,55.78,35.4776302,-79.2234824
0.001,511.35,56.55,35.4776091,-79.2228713
0.000,511.35,55.96,35.4774799,-79.2234785
0.002,511.37,66.53,35.4763505,-79.2272038
0.000,511.37,66.48,35.4763586,-79.2273375
0.000,511.37,66.53,35.4764923,-79.2271972
0.001,511.37,70.24,35.4762891,-79.2252454
0.000,511.37,69.73,35.4764357,-79.2252564
0.000,511.37,68.88,35.4763097,-79.2248853
0.001,511.37,68.42,35.4763145,-79.2248054
0.000,511.37,61.00,35.4763561,-79.2237493
0.000,511.37,60.43,35.4764973,-79.2237635
0.000,511.37,68.24,35.4762417,-79.2248047
0.001,511.38,75.03,35.4805585,-79.2271492
0.000,511.38,74.71,35.4806061,-79.2269868
0.002,511.39,75.42,35.4795221,-79.2266865
0.000,511.39,73.23,35.4795615,-79.2265263
0.000,511.41,76.18,35.4785741,-79.2261111
0.000,511.41,76.53,35.4785020,-79.2262294
0.000,511.41,75.57,35.4786986,-79.2262018
0.000,511.40,76.43,35.4785640,-79.2262572
0.001,511.41,63.99,35.4803772,-79.2231672
0.003,511.24,59.95,35.4676932,-79.2134337
0.000,511.24,61.55,35.4676766,-79.2131920
0.000,511.24,60.72,35.4678325,-79.2131847
0.000,511.24,56.19,35.4691673,-79.2132540
0.001,511.24,54.73,35.4691404,-79.2129821
0.000,511.24,56.75,35.4690392,-79.2119579
0.000,511.24,52.99,35.4689948,-79.2129972
0.000,511.35,56.56,35.4691808,-79.2133793
0.000,511.35,56.30,35.4691673,-79.2132644
0.001,511.34,55.90,35.4690881,-79.2132686
0.000,511.28,83.33,35.4676595,-79.2019551
0.000,511.28,85.57,35.4675571,-79.2018099
0.000,511.28,82.79,35.4675652,-79.2021054
0.000,511.28,82.96,35.4674749,-79.2020795
0.000,511.23,92.49,35.4720449,-79.1985087
0.000,511.23,92.87,35.4719803,-79.1986577
0.000,511.25,89.67,35.4705099,-79.2001715
0.000,511.24,93.61,35.4712672,-79.1993171
0.000,511.24,96.38,35.4711536,-79.1992005
0.000,511.25,89.37,35.4704698,-79.2002177
0.033,511.25,89.81,35.4704635,-79.2001105
0.001,511.25,87.91,35.4703131,-79.2003983
0.000,511.25,87.87,35.4702195,-79.2002658
0.000,511.24,64.66,35.4685070,-79.2059235
0.000,511.24,64.58,35.4684586,-79.2059357
0.001,511.24,65.28,35.4684838,-79.2057141
0.001,511.24,64.94,35.4683470,-79.2057370
0.000,511.24,65.06,35.4685001,-79.2058611
0.005,511.24,61.01,35.4686532,-79.2072282
0.000,511.24,60.82,35.4684836,-79.2072605
0.000,511.24,60.99,35.4685888,-79.2073453
0.000,511.24,61.27,35.4686735,-79.2074065
0.000,511.24,61.09,35.4686635,-79.2073186
0.000,511.24,61.73,35.4689521,-79.2103627
0.000,511.24,62.57,35.4688414,-79.2103644
