OBJECTID,ELEVATION,TRAVEL,LON,LAT
218.00000,446.42897,93.30000,-79.2137199,35.4535727
219.00000,412.80240,78.65000,-79.2134635,35.4550207
220.00000,408.28685,72.29000,-79.2142647,35.4554299
221.00000,414.13043,93.30000,-79.2149884,35.4542155
222.00000,416.83605,59.52000,-79.2159650,35.4532050
223.00000,422.89476,76.76000,-79.2168437,35.4523924
224.00000,409.31952,106.60000,-79.2180042,35.4530973
225.00000,387.35376,106.60000,-79.2187664,35.4536837
226.00000,393.44748,74.77000,-79.2179732,35.4542826
227.00000,403.40107,74.47000,-79.2169423,35.4536200
228.00000,402.35585,106.60000,-79.2200811,35.4546792
229.00000,395.95486,74.77000,-79.2187999,35.4556763
230.00000,406.24438,55.74000,-79.2211081,35.4554587
231.00000,393.45650,55.18000,-79.2200535,35.4564905
232.00000,377.32728,74.77000,-79.2187546,35.4566731
233.00000,365.32304,55.18000,-79.2195027,35.4583298
234.00000,365.98371,55.18000,-79.2201527,35.4595007
235.00000,382.93310,55.18000,-79.2211616,35.4588991
236.00000,377.77983,55.18000,-79.2221429,35.4585287
237.00000,383.98602,74.77000,-79.2170305,35.4574920
238.00000,400.69530,74.63000,-79.2158370,35.4558464
239.00000,398.48752,74.77000,-79.2166423,35.4552920
240.00000,414.05383,74.47000,-79.2157908,35.4546979
241.00000,393.79806,74.77000,-79.2165847,35.4584172
242.00000,395.75957,34.66000,-79.2165713,35.4597919
243.00000,375.43418,34.66000,-79.2157414,35.4613312
244.00000,355.48814,34.66000,-79.2182821,35.4602332
245.00000,362.87305,34.66000,-79.2170400,35.4618219
246.00000,403.94002,74.77000,-79.2151407,35.4584374
247.00000,381.96283,34.66000,-79.2150408,35.4597493
248.00000,345.14538,44.02000,-79.2129938,35.4627571
249.00000,356.60996,34.66000,-79.2133794,35.4620195
250.00000,350.00855,43.85000,-79.2120254,35.4626404
251.00000,368.63213,34.66000,-79.2124841,35.4617472
252.00000,357.05313,34.66000,-79.2145653,35.4622773
253.00000,354.26462,40.48000,-79.2134433,35.4656659
254.00000,371.79827,32.24000,-79.2132462,35.4677112
255.00000,325.89351,85.05000,-79.2121867,35.4640272
256.00000,321.56286,43.14000,-79.2104264,35.4639593
257.00000,321.45233,43.29000,-79.2091364,35.4636759
258.00000,332.32934,42.21000,-79.2087325,35.4650178
259.00000,343.30091,41.94000,-79.2082453,35.4660772
260.00000,348.31302,39.17000,-79.2078494,35.4671292
261.00000,363.35263,44.17000,-79.2100021,35.4662440
262.00000,383.08870,32.02000,-79.2131104,35.4691378
263.00000,376.61954,36.83000,-79.2147890,35.4693239
264.00000,358.33957,30.52000,-79.2063513,35.4673624
265.00000,317.88987,42.13000,-79.2078192,35.4634562
266.00000,323.42937,41.88000,-79.2074298,35.4644716
267.00000,333.36739,39.15000,-79.2070397,35.4655230
268.00000,382.19259,73.10000,-79.2095586,35.4586065
269.00000,499.41308,94.01000,-79.2169534,35.4406568
